Theater
acting
Animal care
arcade games
art shows
galleries
arts
crafts
religious services
theatre play
musical
social group 
meetings
movies
sports
University
Backpacking
baseball
Bicycling
bingo
bocce
Bowling
bridge
Camping
Canoeing
cards
Decorating
ceramics
checkers
chess
antiques
autographs
books
bottles
coins
photographs
stamps
video games
croquet
Dancing
Eating out
Drawing
Drinking
socializing
Exercising
gym
Fishing
frisbee
Cooking
Caring
house 
plants
vegetables
golf
Hiking
Hunting
cleaning
Jogging
macrame
mahjong
embroidery
Painting
research
photography
Picnicking
pilates
musical 
instrument
poker
Quilting
racquetball
Radio
fiction
Reading 
newspapers 
magazines
nonfiction
Restoration 
art works
Restoration 
buildings
Restoration 
furniture
Horseriding
Rollerskating
Sailing
Shopping
billiard
Skiing
Skiing
cross-country
Skiing
soccer
Swimming
tennis
Traveling 
leisure
Visiting 
relatives
volleyball
political activism
care giving
emergency
scout movements
Walking
Walking pets
Watching sports
Watching movies
Watching television
Weight lifting
Woodworking
Solving jigsaw puzzles
yardwork
yoga
with a pet
Attending a meet-up
Engaging in lifelong learning
Gardening
Chatting with friends
Mentoring others
Environmental 
in developing countries
Attending a political rally
Having a night out
golf
Speed dating
Going to a flea market
Organizing photo albums
Feeding birds
Calling someone on the phone
Sun-bathing
Storytelling
Chatting up
Chatting 
online
board games
craft
language
Car racing
Boxing
Sitting
Climbing
Volunteering
psychological
support
Driving 
cars
Riding
otorcycle
Visiting 
museum
Meditating
